"transcript_biotype" "entrezgene" "ensembl_gene_id" "ensembl_gene_id_version" "hgnc_symbol" "logFC" "AveExpr" "t" "P.Value" "adj.P.Val"
"LYPD8" "protein_coding" 646627 "ENSG00000259823" "ENSG00000259823.5" "LYPD8" 4.14834373850468 -1.73889156514656 10.2663542972455 3.92848367932448e-20 3.07289310142129e-16
"CNTNAP4" "protein_coding" 85445 "ENSG00000152910" "ENSG00000152910.18" "CNTNAP4" 4.91894777496661 -2.61735572610215 10.2380877098261 4.73189575211162e-20 3.07289310142129e-16
"COX7B2" "protein_coding" 170712 "ENSG00000170516" "ENSG00000170516.16" "COX7B2" 6.51122155121459 -2.18924599177716 9.18105679420687 4.4676553164309e-17 1.93419690832682e-13
"FAM133A" "protein_coding" 286499 "ENSG00000179083" "ENSG00000179083.6" "FAM133A" 5.08728378016214 -1.79256252949106 8.78824487320877 5.33555122882088e-16 1.73245348399814e-12
"SSX1" "protein_coding" 6756 "ENSG00000126752" "ENSG00000126752.7" "SSX1" 6.90605704127356 -1.63018784109189 8.41803180556548 5.33978312883615e-15 1.38706206554648e-11
"CSMD1" "protein_coding" 64478 "ENSG00000183117" "ENSG00000183117.18" "CSMD1" 4.54882634347704 -1.86212521152865 7.65322395454961 5.36645735441089e-13 1.16165913531814e-09
"GPR158" "protein_coding" 57512 "ENSG00000151025" "ENSG00000151025.9" "GPR158" 2.85752896689121 0.0616440231194229 7.50609373443478 1.27229818194704e-12 2.36065839816117e-09
"SLC44A5" "protein_coding" 204962 "ENSG00000137968" "ENSG00000137968.16" "SLC44A5" 3.58528681531603 -0.170318474040107 7.06358656074434 1.62292177048728e-11 2.63481349438611e-08
"TIMP2" "protein_coding" 7077 "ENSG00000035862" "ENSG00000035862.12" "TIMP2" -1.40369502077552 5.93339644695879 -7.03334211009457 1.92537673509425e-11 2.77853255948934e-08
"MAGEC2" "protein_coding" 51438 "ENSG00000046774" "ENSG00000046774.9" "MAGEC2" 5.29679310662378 -1.84881290231327 6.88555155948489 4.43260681237e-11 5.75706972790615e-08
"DCAF4L2" "protein_coding" 138009 "ENSG00000176566" "ENSG00000176566.4" "DCAF4L2" 5.78293629138136 -2.05975358075437 6.713924125247 1.15244542213655e-10 1.33038517844976e-07
"MAGEA6" "protein_coding" 4105 "ENSG00000197172" "ENSG00000197172.10" "MAGEA6" 5.56097879156788 -2.32775236774265 6.70195202872786 1.22918248701856e-10 1.33038517844976e-07
"SYT1" "protein_coding" 6857 "ENSG00000067715" "ENSG00000067715.13" "SYT1" 3.08697925032014 0.0654902885859786 6.54534171586517 2.87335740111766e-10 2.87070507120894e-07
"SULF2" "protein_coding" 55959 "ENSG00000196562" "ENSG00000196562.14" "SULF2" -1.77490616044691 4.97903248730848 -6.50530354164597 3.56882788827479e-10 3.31085261520807e-07
"BGN" "protein_coding" 633 "ENSG00000182492" "ENSG00000182492.15" "BGN" -1.74834626670269 6.98351416567712 -6.36478665079232 7.59147229042148e-10 6.24631604086597e-07
"IGF2" "protein_coding" 3481 "ENSG00000167244" "ENSG00000167244.19" "IGF2" -3.82706795813417 6.21192508804431 -6.36240793284429 7.69487655172894e-10 6.24631604086597e-07
"OBSL1" "protein_coding" 23363 "ENSG00000124006" "ENSG00000124006.14" "OBSL1" -1.98457606308395 4.8877292174508 -6.14674494454052 2.40140939574048e-09 1.83467677834573e-06
"MAGEA3" "protein_coding" 4102 "ENSG00000221867" "ENSG00000221867.8" "MAGEA3" 5.33272685736617 -1.98444826464496 6.11824691245678 2.8148649365511e-09 2.03108143310698e-06
"MAGEA1" "protein_coding" 4100 "ENSG00000198681" "ENSG00000198681.6" "MAGEA1" 4.21428475309111 -0.913763280768887 6.01280982884361 4.82706685951624e-09 3.2996812827051e-06
